"product_id","model_key","status"
"CSP-3000-120","CSP-3000","matched"
"CSP-3000-400","CSP-3000","matched"
"DBU-3200-48","DBU-3200","matched"
"DDR-120C-24","DDR-120","matched"
"DDR-120C-48","DDR-120","matched"
"DDR-120D-24","DDR-120","matched"
"DDR-15G-12","DDR-15","matched"
"DDR-15G-15","DDR-15","matched"
"DDR-15G-24","DDR-15","matched"
"DDR-15G-5","DDR-15","matched"
"DDR-15L-12","DDR-15","matched"
"DDR-15L-24","DDR-15","matched"
"DDR-15L-5","DDR-15","matched"
"DDR-240B-24","DDR-240","matched"
"DDR-240C-24","DDR-240","matched"
"DDR-30G-12","DDR-30","matched"
"DDR-30G-24","DDR-30","matched"
"DDR-30G-5","DDR-30","matched"
"DDR-30L-12","DDR-30","matched"
"DDR-30L-5","DDR-30","matched"
"DDR-480B-24","DDR-480","matched"
"DDR-480C-12","DDR-480","matched"
"DDR-480C-24","DDR-480","matched"
"DDR-60G-12","DDR-60","matched"
"DDR-60G-24","DDR-60","matched"
"DDR-60G-5","DDR-60","matched"
"DDR-60L-5","DDR-60","matched"
"DRA-60-24","DRA-60","matched"
"DUPS20","DUPS20","matched"
"DUPS20_1","DUPS20","matched"
"EDR-120-24","EDR-120","matched"
"EDR-150-24","EDR-150","matched"
"EDR-75-12","EDR-75","matched"
"EDR-75-24","EDR-75","matched"
"EDR-75-48","EDR-75","matched"
"ELG-150-12A","ELG-150","matched"
"ELG-150-12A-3Y","ELG-150","matched"
"ELG-200-12A","ELG-200","matched"
"ELG-240-24A-3Y","ELG-240","matched"
"ELG-300-12A","ELG-300","matched"
"ELG-300-24A","ELG-300","matched"
"ELG-300-24A-3Y","ELG-300","matched"
"ELG-75-12A","ELG-75","matched"
"EPP-300-12","EPP-300","matched"
"EPP-300-24","EPP-300","matched"
"EPS-120-12","EPS-120","matched"
"EPS-120-24","EPS-120","matched"
"EPS-120-27","EPS-120","matched"
"EPS-15-12","EPS-15","matched"
