"상품명","판매가"
"EPS-15-5","8200"
"HRP-75-5","44300"
"RSDW20H-05","48100"
"RSD-60G-12","44300"
"RSD-30G-12","35400"
"IRM-10-15","7900"
"NDR-75-48","22700"
"XLG-75-24-A","24800"
"RPS-65-12","20400"
"RPS-45-5","20400"
"SPRN01N-5","5600"
"MSP-450-48","178000"
"HLG-240H-24A","75600"
"HLG-185H-24A","61400"
"HLG-150H-24A","53200"
"HLG-600H-48A","209300"
"LRS-450-5","58600"
"SD-25B-12","28400"
"SD-50B-24","32600"
"SD-50B-12","36100"
"ELG-300-12A","79200"
"LRS-600-15","60500"
"EPS-65S-12","16800"
"EPS-35-24","13200"
"MSP-450-24","175500"
"RSD-200B-24","114000"
"RSD-150B-24","106000"
"MFM-05-12","8800"
"ERDN40-24","49000"
"IRM-02-5","5200"
"HLG-320H-30A","106000"
"HRP-200-24","78800"
"HRP-200-12","83700"
"RST-5000-24","1826300"
"LRS-50-3.3","13100"
"SD-150C-24","61400"
"DDR-15L-24","23800"
"DDR-15L-5","23800"
"XLG-25-A","24800"
"UHP-350-24","81900"
"LRS-150F-5","23000"
"LOP-300-48","52200"
"[민웰","200"
"IRM-03-15","6500"
"XLG-320-M-AB","79200"
"XLG-150-L-AB","43600"
"SD-25B-24","28900"
"HLG-600H-24A","204000"
"LRS-1200-36","161700"
"RSP-100-5","40800"
"HRP-100-24","52400"
"HRP-150-24","58500"
"NSP-3200-48","567500"
"NSP-3200-24","542500"
"NSP-1600-24","417800"
"NSP-1600-12","462300"
"NSP-750-24","196000"
"NSP-750-12","196000"
"NSP-500-24","99400"
"NSP-500-12","99400"
"NSP-320-24","55900"
"NSP-320-12","55900"
"NSP-200-24","46500"
"NSP-200-12","46500"
"NSP-150-24","40400"
"NSP-150-12","40400"
"NSP-100-24","38000"
"NSP-100-12","38000"
"NSP-75-24","33800"
"NSP-75-12","33800"
"DDR-15G-15","23000"
"XDR-960-48","284400"
"XDR-960-36","284400"
"XDR-960-24","284400"
"XDR-75-48","36700"
"XDR-75-36","36700"
"XDR-75-24","36700"
"XDR-75-12","36700"
"XDR-480-48","160400"
"XDR-480-36","160400"
"XDR-480-24","160400"
"XDR-480-12","160400"
"XDR-240-48","100300"
"XDR-240-36","100300"
"XDR-240-24","100300"
"XDR-240-12","100300"
"XDR-120-48","59800"
"XDR-120-36","59800"
"XDR-120-24","59800"
"XDR-120-12","59800"
"DDR-30L-5","31000"
"LRS-150F-36","24800"
"HRP-150-15","63700"
"PT-45C","25600"
"RSP-2400-48","458800"
"[국내재고보유]","123800"
"EDR-75-12","19700"
"DDR-30G-24","32000"
"RPS-65-5","21300"
"XLG-240-M-AB","62100"
"XLG-100-L-AB","43500"
"RS-50-5","15000"
"DDR-60G-24","36400"
"DDR-30G-12","27500"
"EPS-35-36","14000"
"EPS-35-15","14000"
"RSP-75-5","33100"
"HLG-150H-48B","68000"
"HLG-185H-48B","75600"
"HLG-120H-48B","53300"
"HLG-600H-54AB","215200"
"RS-15-15","8300"
"RSP-320-15","56900"
"RSP-320-5","50600"
"민웰","34600"
"DDR-240B-24","106000"
"IRM-01-12","5200"
"RPS-75-5","25800"
"NPB-450-72","213800"
"RS-50-3.3","16800"
